Id,Image Name,Task Id,Student Id,Upload Date,Maybe relate to task,Maybe duplicate,Approved,Comment,Check Date,Corrected by student - next image id
0,Ежевика на зеленом фоне,0,1,2024-04-18 14:09:34,True,False,True,Отличный рисунок!,2024-04-18 14:44:22,
1,Ягода с листочками,0,2,2024-04-18 14:31:16,True,False,True,Отличный рисунок!,2024-04-18 14:44:22,
2,Ягода ежевики,0,3,2024-04-18 19:05:07,True,False,True,Отличный рисунок!,2024-04-18 14:44:22,
3,Ежевика,0,4,2024-04-18 19:11:15,True,False,True,Отличный рисунок!,2024-04-18 14:44:22,
4,Лодка на озере,1,1,2024-04-18 19:45:25,True,False,True,Прекрасный рисунок!,2024-04-18 14:44:22,
5,Лодка на берегу,1,2,2024-04-18 19:45:25,True,False,True,Прекрасный рисунок!,2024-04-18 14:44:22,
6,Лодка,1,3,2024-04-18 19:45:25,True,False,True,Прекрасный рисунок!,2024-04-18 14:44:22,
7,Лодка на озере,1,4,2024-04-18 19:45:25,True,False,True,Прекрасный рисунок!,2024-04-18 14:44:22,
8,Костер,2,1,2024-04-18 14:09:34,True,False,True,Замечательный рисунок!,2024-04-18 14:44:22,
9,Ночной костер,2,2,2024-04-18 14:09:34,True,False,True,Замечательный рисунок!,2024-04-18 14:44:22,
10,Лесной костер,2,3,2024-04-18 14:09:34,True,False,True,Замечательный рисунок!,2024-04-18 14:44:22,
11,Ночью в лесу,2,4,2024-04-18 14:09:34,True,False,True,Замечательный рисунок!,2024-04-18 14:44:22,
12,Портрет девушки,3,1,2024-04-18 14:09:34,True,False,True,Восхитительный рисунок!,2024-04-18 14:44:22,
13,Молодая дама,3,2,2024-04-18 14:09:34,True,False,True,Восхитительный рисунок!,2024-04-18 14:44:22,
14,Девушка,3,3,2024-04-18 14:09:34,True,False,True,Восхитительный рисунок!,2024-04-18 14:44:22,
15,Прекрасная девушка,3,4,2024-04-18 14:09:34,True,False,True,Восхитительный рисунок!,2024-04-18 14:44:22,
16,Чайник на столе,4,1,2024-04-18 14:09:34,True,False,True,Хороший рисунок!,2024-04-18 14:44:22,
17,Облепиховый чай,4,2,2024-04-18 14:09:34,True,False,True,Хороший рисунок!,2024-04-18 14:44:22,
18,Уютный уголок,4,3,2024-04-18 14:09:34,True,False,True,Хороший рисунок!,2024-04-18 14:44:22,
19,Чаепитие,4,4,2024-04-18 14:09:34,True,False,True,Хороший рисунок!,2024-04-18 14:44:22,
20,Зверь в лесу,5,1,2024-04-18 14:09:34,True,False,True,Хороший рисунок!,2024-04-18 14:44:22,
21,Баран,5,2,2024-04-18 14:09:34,True,False,True,Хороший рисунок!,2024-04-18 14:44:22,
22,Баран в траве,5,3,2024-04-18 14:09:34,True,False,True,Хороший рисунок!,2024-04-18 14:44:22,
23,Взгляд зверя,5,4,2024-04-18 14:09:34,True,False,True,Хороший рисунок!,2024-04-18 14:44:22,
24,Эйфелева башня,6,1,2024-04-18 14:09:34,True,False,True,Чудесный рисунок!,2024-04-18 14:44:22,
25,Париж,6,2,2024-04-18 14:09:34,True,False,True,Чудесный рисунок!,2024-04-18 14:44:22,
26,Эйфелева башня у реки,6,3,2024-04-18 14:09:34,True,False,True,Чудесный рисунок!,2024-04-18 14:44:22,
27,Весенний Париж,6,4,2024-04-18 14:09:34,True,False,True,Чудесный рисунок!,2024-04-18 14:44:22,
28,Ещё один рисунок Эйфелевой башни,6,1,2024-04-18 23:38:14,True,True,True,Мне больше нравится этот вариант!,2024-04-18 23:39:27,
